r,q,η
[0.5384812657595677 1.0272455108912006 0.3801361306885801 1.0850372502899113 3.6438126821869554 0.2120504589312801 0.858241687297224 1.8748709380438262 0.39745583604040174 0.8535088035075237 0.8125491937456025 0.6761652762117539 0.45832045131070775; 3.1411671195544777 4.124973503086792 1.4690688514413583 1.2686315563380832 2.6128017487698814 2.915962215466432 0.4616584413689967 9.082664518464512 4.671630360180909 0.10814728708383364 5.360230949519358 5.4249336937012576 3.046580592546801],"[0.007537559237241774, 0.970036402335316, 0.02867367121418187, 0.4317613649749628, 0.0007598445888422918]",0.6849482842851553
[0.9365073833861982 0.9533375238160999 0.17869019409061906 1.1107098436170983 3.1505284134589027 0.21892927586678435 1.2118892436599813 2.0728266509238944 0.3664516863409684 0.3829153347038959 0.6667239394115296 0.706836609361553 0.4819173759378846; 2.88076340596399 3.902549802387207 1.525758190078256 1.1434089536143186 2.278417959836364 2.6956291118259585 0.37803632255000286 8.762978175106019 5.125767961401044 0.24852950794138193 5.477097614432643 5.347623851494401 3.02447150353804],"[0.005194671204319187, 0.9845850400297442, 0.006995348559175955, 0.39164968396906635, 0.0005099265332099471]",0.6770684575960186
[0.6327593234223801 1.1908466207823356 0.1354129595461429 1.1273532889137083 3.1945733814444175 0.1891407207456262 0.9050790708644896 1.8232041993437695 0.4088175602506946 1.2846264445202107 1.0460352112431222 0.671411561466561 0.4013744102518284; 2.5416316719493217 4.787824798187116 0.5652950468712148 1.2833651265482775 2.8372034608560783 2.817868449762581 0.3228212067000336 9.45891982722743 4.74369117268573 1.2418841143708368 5.590850811397037 5.279459055774956 3.0167018387706013],"[0.0001974531374560362, 0.9478518619199803, 0.017892064155442526, 0.48571814932292934, 0.004647549425663892]",0.6982933996646854
[0.800712499285442 0.9065771738303556 0.16421902999220225 1.0769505851018166 3.206225647116483 0.2183017884828799 1.1746664862061154 2.121116029277011 0.35189607766888786 0.638072927766154 0.6048799612407932 0.6556578303511796 0.5000340791023562; 2.314970346292779 3.8828491727163037 1.152295364964257 1.1691950387240453 1.7717154093347296 2.836175114295414 0.40855308066497203 9.439083575159167 4.871933897617765 0.3160879556653291 5.221052276554561 5.4166371878002 2.9871888274497937],"[0.011075765645382415, 0.9610316655657237, 0.003298479683095671, 0.37257088589346765, 0.00022029381545034872]",0.677189493201584
[0.7577347000127216 1.0640210242189405 0.2252537021021823 1.1326076489694923 3.3824084094236078 0.18341371580505222 1.2153973897724692 1.9597342347758022 0.42593046089671827 0.8212575338617436 1.063641103958295 0.6419193978641634 0.5164418864907926; 3.2483731847004558 4.1946481057909395 1.3350195727215715 1.270277108766619 2.8552237011010213 2.797583146933889 0.37253383292885556 8.565090716830092 4.894454725765247 1.2388837695716473 5.5164330998790385 5.2141856079275515 3.185759021334757],"[0.0022649215278769544, 0.8596864671797585, 0.016555124699287615, 0.46087193855392106, 5.292870162092429e-5]",0.703420724775304
[0.6094907494532508 1.0489837605367907 0.13185492190801745 1.0982264167758864 3.392905666822514 0.24196641134290334 1.0216718026385965 2.0149175333653613 0.34307286981469365 0.8276200984379072 0.6089992687114308 0.737250944893893 0.39954756157373905; 2.0393643539732693 3.980101108746199 1.1083129124720066 1.114764346493892 2.0954458081202807 2.9166036927376164 0.27585367379208997 9.409749543240203 4.700643436556968 0.31414029528100484 5.085433137599916 5.262868362863671 2.997623984142116],"[0.002384921764829133, 0.9917269414156348, 0.008004588098218067, 0.3795960584666591, 0.0017980601717875648]",0.7004402887802982
[0.7316736655381799 1.0476572976225615 0.1477651320509994 1.1646075779382987 3.1314805831073187 0.1859603089667066 1.5526531999979936 2.1718909810640445 0.4164199492999859 0.714918591730183 0.9196804632606932 0.5911636690606425 0.5367986640783172; 3.1387436447931507 4.3316522248041665 1.1605163392885673 1.2860259777653023 2.619542624702051 2.685299572199179 0.5407899060758274 8.049716146449354 4.900857564445639 0.3514758170258284 5.576731678994456 5.266768401327556 3.1057785619978464],"[0.003061757628356076, 0.8431836421241051, 0.01812887985578339, 0.4540857055030629, 0.001105975480761769]",0.699640432413681
[0.7884326678643798 1.1169329137151227 0.31201098766337443 1.1607710562947047 2.7719096180404055 0.24221383158878523 0.6222115148756313 2.250716188419609 0.39160547202965945 0.43545103423757325 0.8620568148342393 0.6860244797313291 0.49101807892600824; 2.4146713761105145 4.1660726822950895 0.7185405628692381 1.2823687059053632 2.7478040593086974 2.8183315013848764 0.3870193394122703 7.875238528490821 4.849076102132392 0.9228242003523045 5.307089532521086 5.281198968289027 2.9729803274776625],"[0.008914412332697087, 0.8341757420915333, 0.013546359988806192, 0.48183295751778626, 0.0020946609310610537]",0.6864089382650227
[0.7896205377810622 0.9795504352368418 0.18462636095535395 1.1267635901706112 3.3993548009995385 0.21981339245534798 1.0042184132818668 1.9207467791927577 0.39910873797873564 0.8886882589145362 0.8204755228144367 0.7710074452850029 0.5269893585211618; 2.5476055210847854 4.026244891736136 0.673172789242177 1.2883757446872317 2.7780216251961973 2.8570846912965906 0.2828255718804321 8.94891396793969 4.86643438733683 0.19508743352096153 5.419326184535611 5.444610123027088 3.1971314725198026],"[0.004985131348896644, 0.9431592622384477, 0.015600436520396917, 0.42352932179805636, 0.0018099396523387796]",0.6949231175722216
[0.8702597456063557 1.0607917099245592 0.24980730523579042 1.0982003896522106 3.0782441459493617 0.19852952951380853 1.048572634330218 2.021500516703468 0.39295233191661977 0.2695494130219589 0.8136525894471867 0.6048013597038644 0.4415890581604599; 2.783272233312299 4.526378632266825 0.5245759342365475 1.09436231379683 1.9447504000148093 2.857311331246514 0.5084102195204822 8.538657669935775 4.811045419869621 0.48969079224199946 5.227567676870055 5.223332574835887 2.961421733624874],"[0.007066210060598354, 0.8812637852246156, 0.010583390476820853, 0.37994046534869197, 0.0023069302462781806]",0.7027082094815378
[0.8083994939576618 0.9870120512859675 0.141428871215382 1.1203711867764339 3.149236040347186 0.20560491824874128 1.0443214720707568 1.9326135693839737 0.35874956966020544 0.8882299221461362 0.7956454838246754 0.8193101192393647 0.4924877714196287; 2.661719813996336 4.09399321725822 0.4295411021821604 1.3182079009512246 2.7092920187660825 2.8308259858419724 0.2830388838798424 9.08280356552807 4.9255855732721185 0.5826443379336368 5.366021036420464 5.539445342609936 3.078496678636432],"[0.00184014010946887, 0.9595028353972123, 0.015209243010507696, 0.44021069931449885, 0.0008795251939329589]",0.6738065277434435
[0.7927104395410267 1.0509989123138197 0.1516846332186636 1.1395430864300322 3.1573045912056674 0.19144641390382927 0.9407195101187006 2.2134988967972093 0.42564603674446777 0.4804426272126017 0.7773065819302355 0.5874658968350803 0.467666622543149; 2.608549109058029 4.202112043379919 1.8024543156937844 1.2362018940619675 2.356906383474923 2.832637865849985 0.5987992954891017 8.488743823102254 4.676993805203463 0.7145362364440975 5.5255904060443 4.984009558297718 3.0346126779478],"[0.00841945964947619, 0.9029477669063192, 0.01315931727073004, 0.42558458799541937, 0.003914184335340061]",0.7034074838184512
[0.4934547968855777 1.0106620742807018 0.15433430032796766 1.0891713091123039 3.1543240792599567 0.20668676428814564 0.9488786000360635 1.9237862001841708 0.3190932937402971 0.16352285763903224 0.7745871403727482 0.6741069619569774 0.4147156476197606; 2.204647328593133 3.9175319045638792 0.8080422396493352 1.2322045788105331 2.7213116974404032 2.7855063306239622 0.26750617571281166 8.565079418166974 4.793373799156666 0.41461011534517755 4.9897178841516965 5.208910302726896 2.8955185228323184],"[0.007776563549393242, 0.8835766330442882, 0.016351235763873144, 0.41532911709682885, 0.0004165658007213794]",0.6725568321895012
[0.6791665067373321 0.9904801114392442 0.09689262263494158 1.078105934780857 3.3771278352812897 0.1892341134557381 1.3273381210429842 1.728511266447909 0.3159732788067561 0.4774523496601448 0.8759643566489985 0.7913462907219198 0.3977333972580091; 2.723002855242098 3.852471898735692 0.432304948604626 1.2089816745561843 2.339807671292282 2.7576682729037003 0.512364547475163 8.720353159022372 4.168047680323905 0.2645292887658341 4.907839395048508 4.942518491091125 3.082927236797603],"[0.004943909381405187, 0.8388071011652444, 0.011434826801758304, 0.39407472259444415, 0.0009362743405433491]",0.6769555513145947
[0.6082584750727473 1.1095457231919763 0.3440154773756453 1.1707287021637198 3.1685520315101683 0.2362286436875256 0.682149650695995 2.3161531476281834 0.44285513485797495 0.622250681020373 0.7230949199781055 0.6078704681104556 0.5085401431110036; 2.0011062649620053 4.324007488612671 1.0106205300093143 1.2361872369847218 1.9957508588178725 2.818132297137602 0.15175692214375117 8.794848057014333 5.277480981789404 0.9759142506631745 5.745221490854066 5.739256744087221 3.1763545663548935],"[0.005988966176333192, 0.9548584209730865, 0.019575755792229407, 0.40038340228378255, 0.0031623648639337782]",0.7160138208440028
[0.8587721069967488 1.039101436733494 0.19026540763169913 1.0882808241117823 3.108947309886682 0.19740044287047762 0.6330338726480572 2.2965799184196944 0.32049388398005 0.7211253893737166 0.768470004174644 0.6418300580519866 0.4851432562658884; 1.6747007184599332 4.10744552376554 0.7505375883720974 1.155255238737779 1.8297760205170617 2.8418244609949195 0.36435052342700525 8.727354815548457 4.999080854136435 0.44537806664933427 5.58301329740471 5.398806375974879 3.1627460382092862],"[0.01027891293657126, 0.8756153590587278, 0.025102690407759927, 0.4024355038270193, 0.002333997398673077]",0.7279677569025212
[0.8327352385659484 0.9835149125899412 0.229598743055881 1.1092536909794932 3.547466070764239 0.20874207963654176 0.5543584850876435 2.314669958725957 0.38957003402183776 0.6482849530968031 0.8614202649185347 0.6550171776707353 0.477887736057657; 2.745371858429869 4.20689385218478 1.2293220124692692 1.1695787921725576 2.067584067172939 2.810898208227586 0.27117534606832017 9.03638213276841 4.791379364305888 0.21804100318742972 5.438425722325149 5.262648037840689 2.9789037362964024],"[0.004834004397785103, 0.9253454423839768, 0.0228152880156209, 0.36727458507724287, 0.0036269653834308975]",0.7150622843439165
[0.8045941553538001 1.0773457806012274 0.3273800495729249 1.1912107468644013 3.492465087953248 0.20339370384476982 0.6624255428471053 2.544233356274642 0.3691260809122124 0.7072429407945648 0.8915510400161161 0.693867126981363 0.4618965963071479; 1.8829450254823763 4.088764709234036 1.14287497671488 1.241616951808539 2.204432051093925 2.861596749517548 0.2764344089385859 9.500399303011799 4.7139346516583505 0.13323670402767931 5.459425410351189 5.204424389875298 2.897025480827386],"[0.01726066387877434, 0.946361496812741, 0.01815116820914206, 0.3910706122872673, 0.00257593334477767]",0.7062340645949758
