""r"",""q"","η"
"[0.503919029798468 0.7180045025068826 0.09801069849852974 1.135719659265095 0.83856497987371 0.30753072196671055 0.1778786540890051 0.9601495985410934 0.6498811763143343 0.1767956299446162 0.707290100155191 0.6681845486102729 0.5151378295371152; 0.8610703406613247 1.400996491633892 6.156445664954038 0.18479194841028077 0.3920196988774489 0.9641719767674591 0.8103660027659447 1.6205258249025292 1.0905606066869753 0.7859768802229448 0.7973127009239731 0.9440467480455681 0.6553108690349119]","[9.590010060064235e-5,  0.051143070104399925,  0.000558184107307065,  0.2709144411972993,  0.000650569323618192]",0.8757150444140701
"[0.4486633750902757 0.6940059125161365 0.0756329203273808 1.129825932267606 0.965036199397867 0.288736122267349 0.2049510913791082 1.0553913098482188 0.72496879694678 0.18433520914042653 0.6608597260525371 0.7182436342171971 0.5461896559470892; 0.9600954413928807 1.4527358853263626 5.021073961455388 0.21790254039520587 0.46452806332752117 0.906699138472248 0.42506441888075674 1.7073622661227976 1.0846046202096193 1.007238875643669 0.7491365321663415 0.9012356807537203 0.6982174186116121]","[1.5684370386118986e-5,  0.03889631617777234,  0.0014902742351657024,  0.28392360908791653,  0.0006012902077247685]",0.8671747199989954
"[0.5840295257371775 0.6966149782006451 0.12058232983921018 1.1386379900256558 0.900519487280664 0.30177509063676583 0.23741730626550434 1.1661371435273042 0.6896787375805356 0.17155851449194223 0.6746583225612002 0.72021557156782 0.5494100466811791; 0.8535067948893413 1.3268829501394315 5.450232933202809 0.2278873223666499 0.43644215593415525 0.9189915783366716 0.42573178394386246 1.633128400778523 1.1433295343285006 0.6536480185964091 0.7350330077843649 0.9855104882647491 0.705152452932525]","[5.146156029989462e-5,  0.032967103936354526,  0.0020441554683316987,  0.2823672374663515,  0.001183409934732786]",0.8741516280619157
"[0.4436552030619519 0.7005227847983598 0.04670790530530891 1.124726029723808 0.8092609249723053 0.2988970337760677 0.1370621464178896 1.291121170037505 0.6829747865170981 0.1610327242466948 0.6930160258478575 0.7032845897460285 0.535819028851083; 0.9983206788049861 1.4607137551024278 6.175807677604796 0.19791657826049908 0.40959516255123907 0.9589752345758998 0.49041462187736107 1.7503283799392046 1.0639040360773584 1.1555659270650627 0.8506324505851113 0.9484801486047639 0.6869389669904599]","[4.7666731241763776e-5,  0.02616744018517377,  0.000285509298767935,  0.27960584997281857,  0.0008089081444774929]",0.8608303741806839
"[0.5487503995655194 0.7073574725475037 0.061507861640615474 1.1508210418991662 0.9459045906665765 0.3163663015508653 0.14341599102681013 0.9141722202445791 0.7521294670213441 0.15992734011371923 0.6846636528977157 0.6784477163735297 0.5641280533706704; 0.7998354296019095 1.4814646867317594 6.111970745216416 0.22542198130901878 0.4057884827550328 0.9219574796416331 0.6718217661184556 1.7014659135396437 1.0709170164526096 1.0548731810177763 0.7510331232100568 0.9180977644190956 0.7242178257033068]","[0.0014154458631218366,  0.05270705623837367,  0.0018930564904295298,  0.27880572994844766,  0.00043600692331379365]",0.8687749438947256
"[0.6608985753370425 0.6968343542996326 0.09115783618503932 1.175982281586647 0.9705393515235107 0.3156469338596245 0.17563628021578895 0.8554137228453329 0.6817299955387472 0.0985187187354478 0.6769807775581846 0.6664476139393223 0.5843156651005861; 0.7362555656493028 1.434579657044831 5.777964349443414 0.2280256095260817 0.38167859695451767 0.9428415248864541 0.5929668035703191 1.74386229492876 1.0861506056689676 1.323221986592137 0.7339135354172838 0.9791324160991013 0.6853873550343519]","[0.0012154620051289995,  0.0681992995670621,  0.002118983661398161,  0.2513621696103393,  0.0007243329103311448]",0.8667605018029515
"[0.32521436535905957 0.6988680940286309 0.04852624559827802 1.110971322188938 0.9354478421361022 0.30773331294634476 0.1341350314074319 0.7869284323242653 0.7603514778137853 0.2371908353298457 0.7149022930261912 0.7333818660991441 0.5146713786079595; 0.9470730925077645 1.4434881410832072 6.139589071976374 0.17903935131297505 0.40272697668047586 0.992000550867146 0.7719303354296936 1.597930018249087 1.065523843815244 0.6726040651162327 0.8213527114905377 0.9006773120662599 0.6904778073753355]","[0.00018592236708095698,  0.06238100887187179,  0.0007617641104272996,  0.2779403873433688,  0.0012075611921104543]",0.8593387025578341
"[0.571090408349709 0.7205489163237919 0.11016295094914813 1.1593319621428777 0.9487530074789912 0.29829324191724127 0.19398519065463615 0.7696849894994101 0.6637549152414175 0.10775321519116254 0.6558564584868416 0.6639783991652675 0.5842408543559349; 0.7319691857723027 1.5124257822015712 5.304968051367481 0.23963857393225477 0.4160700900379006 0.8970605773924001 0.5032887045708716 1.749653575023013 1.0932345596053383 0.6821746979797167 0.7900987419036806 1.037817670811739 0.6908892547610763]","[0.0013406402172184337,  0.07894356756198967,  0.0017108769468891798,  0.26965228893883525,  0.00058730173999591]",0.873698985460723
"[0.43416549829988915 0.6665567097791237 0.10475228868017944 1.1098753829642667 0.8998984793300546 0.3194088868788093 0.137286030491032 1.211616520472748 0.7452320035246409 0.1340344940407294 0.6937994507894472 0.6801016459353731 0.5610226803886668; 1.318247073160217 1.5120582882727034 7.675082993243401 0.19320223457303362 0.3972279256838262 0.9972354226943361 0.7480232432648029 1.619365272390069 1.06536333813154 0.8882052747792769 0.7204942435517926 0.9085165813972349 0.6607791468109405]","[0.0001482101686465284,  0.03329321188813728,  0.00262470252989712,  0.29130832505318044,  0.00023367916952195613]",0.8679626334279898
"[0.616527961524158 0.7423774621482009 0.011080154812430021 1.1535014516763256 0.9385755171504685 0.2988060085295861 0.18599427416519793 1.4915964911286284 0.7151101646777185 0.1975503003436342 0.6836958043992497 0.6874411129553996 0.571417847828265; 0.5728126450670429 1.3950428333222031 5.756143285823779 0.22347519315868056 0.4168265109341114 0.9733939624859106 0.7195305189441406 1.721299411283953 1.148830284615673 0.8978742189501386 0.8331967711682572 0.988101372079889 0.7555469485593844]","[0.000671494417051958,  0.014895450980473785,  0.0005514738935921572,  0.2733611449009907,  0.0016637056362090845]",0.8636082403571897
