r,q,η
[0.5199696461746768 0.7034371170438418 0.06934629490497768 1.152239323509909 0.8648192828624567 0.3166217956470825 0.22830248187737417 1.0667160300888519 0.6782430795395314 0.11010243277202296 0.7298188395560223 0.6374589850587287 0.5538624603802248; 0.7931636446624032 1.3863539747437859 6.48558943752836 0.1955422128835564 0.4526288496064387 0.9260618906224254 0.5651339077100941 1.5835234301125627 1.039979905545771 1.1038094561328857 0.8082394738712946 0.8790029026994501 0.6729185312870217],"[0.0006903161611899997, 0.04257272858977081, 0.0013307653193132894, 0.26442472745296286, 0.00015066832525430828]",0.8721974274612521
[0.3070837215788544 0.7855396128179776 0.059757320399233045 1.1224244146078073 0.8246932273633042 0.30069314754633975 0.08621344503152703 0.8474888771408426 0.7621721508569759 0.17586896601913965 0.6667446318347223 0.7414627281748276 0.532586226964295; 1.2144654792631688 1.634477754717428 5.867965064132543 0.22939069978106896 0.4207135198819348 0.9622728376318871 0.829144994389855 1.798415757093795 1.1101363990109665 0.9393018130749285 0.7535429423016059 0.9698776882444586 0.729937148492892],"[0.0002356814060407866, 0.06954307518835645, 0.0032428000909180033, 0.29465904958037936, 0.0012679627485299295]",0.8680704796100239
[0.4887777082681978 0.6869248012323834 0.10292411138664029 1.1639783443302525 0.896548828580956 0.297658000956523 0.2047294823129538 0.898788393430673 0.6796668513725536 0.17431322328072152 0.7349567757717003 0.6707507463271966 0.5591298021149421; 1.2342816774159149 1.4055084187189155 6.2194415552278395 0.2038092117249419 0.41616500538361717 0.9566228516922287 0.4129460420086567 1.6504274883944468 1.079765715788341 0.9178542369964717 0.8023499021992717 0.9122858626984728 0.6781936616993337],"[0.00023833805769300857, 0.06255888974330918, 0.0009208288974995364, 0.2790182009122833, 8.562626872783208e-5]",0.87235962623869
[0.39389685693359155 0.7106153237188622 0.06873758686512658 1.1686718474654127 0.7307637037773387 0.2962420931321513 0.14120272917582902 0.6963050945900787 0.7445335444080874 0.1663009677311518 0.7298400624264315 0.6693354036729423 0.5507843292083439; 1.0056745162394753 1.4615643802943676 6.02670682657654 0.21771356970131392 0.3871231118406012 0.9343060656447275 0.6726881732686231 1.6641195188992153 1.077060437844446 1.0440684026302387 0.7629494006768023 0.8930670359609977 0.6419363857968681],"[0.0009332280159505442, 0.08073398707491386, 0.002009739228672935, 0.2938185269570007, 0.0006332212173471285]",0.8655376292763424
[0.4545738178805616 0.7294273513696845 0.04688898255206509 1.0740263000132266 0.9470654446648056 0.28377141850389304 0.12485638412798059 1.0692678279550634 0.7110154148254153 0.09240262941303912 0.6614428944636256 0.6890396809812154 0.5416624716825647; 1.0233831088544922 1.5019513739382582 5.198006962039722 0.23121439551538991 0.4603268157763979 0.9491519514195658 0.7103387096691691 1.5649288329280908 1.127206284829911 0.9942703190373839 0.7671878343074057 0.9429569144489944 0.6819053858910153],"[0.0006533511286783114, 0.05552992205955627, 0.0008325748979158634, 0.27963227516523903, 0.0011272275110253132]",0.8750640835649469
[0.8176903791066443 0.6969452923363046 0.07508970224427698 1.1374526147313255 0.9006262503874465 0.3183839262061793 0.12460294509522453 0.8345432123405367 0.7249372668914305 0.15540755352858282 0.667566963349397 0.6893685212946636 0.5652122162448222; 0.7816100381506311 1.4579004752323592 7.439301629652393 0.20414174342572866 0.3782103761822939 0.9774722145333233 0.5402749887476728 1.746672343349607 1.082465913199075 0.8232460931162262 0.7742389975257081 0.9556348491357107 0.7092132431804384],"[0.0002660466732396687, 0.04743341324595678, 0.0013683464871728879, 0.28912956832781883, 0.0003365013293087014]",0.8651461915785239
[0.588728772576614 0.7041477618496871 0.055287368919672335 1.1486993142852178 0.8420558790392083 0.30766939455721765 0.12360221553692298 0.9538901476488615 0.7264276787494406 0.12785258681527842 0.6578264769030282 0.6699523066406579 0.5598105858885007; 0.6771581242691012 1.4756473185794556 7.901179390054304 0.21514297676533012 0.39176002508900754 0.9814106783249931 0.5315907028446016 1.680357892792061 1.0637532721980527 0.978947696636254 0.7699990404022559 0.9515265671003112 0.7027695847136075],"[0.0002095355876611372, 0.05833640908632654, 0.0018595079490300545, 0.28434134744508344, 0.0005069338040786788]",0.8608467445406366
[0.4686307152449591 0.7014680469429777 0.09128746925394045 1.168462935357957 1.036270033364233 0.3024084052348726 0.16741976762543828 0.9057108507259919 0.6880317092656283 0.22155695691445576 0.632870001874132 0.6540464260123525 0.5277924020715857; 0.7579497669374577 1.5002896737081297 7.214695553158064 0.2566733210433713 0.41415387504850554 0.9668872640827689 0.5094183865232352 1.6257334848141463 1.0666619100914616 0.8124673405994567 0.8352949557658929 0.9363891912891886 0.6453369658342362],"[0.00038124796162420895, 0.06298461948197771, 0.0018678785904368345, 0.26996426187164657, 0.0009171300221674683]",0.8606855932925579
[0.49837913638783204 0.6902749080560561 0.08305372208051615 1.1375356763832445 0.8161223781153845 0.3020631962303999 0.13839442066489044 0.8193236455162896 0.7045972272490353 0.16735949497517466 0.7244958973141719 0.7263001139075445 0.5440064257559395; 0.8947542132123996 1.3669877980323244 6.665757276031544 0.17021363492868596 0.451415418228724 0.8809666277386939 0.4336422878404783 1.717122165003887 1.0874170589128642 0.8244934856639662 0.7805125147948035 0.9763498239307066 0.7330941776588782],"[0.00017126738021635524, 0.059400777033495854, 0.0017546327620278851, 0.2732959868296018, 0.0006576136715824026]",0.8649127257026782
[0.4471019006469224 0.6979729547263224 0.1430233718084444 1.1393176603714255 0.87110046167797 0.30937063200924164 0.089697414048407 0.7382354422553564 0.6735151803537243 0.19482940075313068 0.6956744733681772 0.7424355929751764 0.5769173407688055; 1.1742309034874008 1.3700780739966607 6.338065561278603 0.18946641736874542 0.4599498175391833 0.8998466918002386 0.407851849027065 1.6780787044123544 1.088094443411365 0.7714848586845322 0.7886432932991561 0.9935539549500287 0.7191308523852236],"[0.00015363288843464498, 0.06873249449539319, 0.003937344217341264, 0.2839738766125881, 0.0006629380703436114]",0.8671197968988383
[0.4807432167026612 0.7306074713439498 0.03382138874646898 1.1499716681301841 0.7651760747818352 0.31310712559805437 0.29666940519014673 1.0918213817419293 0.7469065376480568 0.11708444063316174 0.7065982793981881 0.645432031524068 0.519361414199796; 0.7444257708123225 1.5643319451873352 5.494881716116669 0.22886897093064218 0.35622706015125627 0.9854194106686013 0.774779604471542 1.7310661581515272 1.064567231466788 1.1193028128084666 0.7998120902921821 0.8956367894926165 0.6812177736417309],"[7.025099805029611e-5, 0.03393030566514828, 0.0008324849370613699, 0.2796026025328968, 5.045414785891284e-5]",0.8715478805009855
[0.70916593777775 0.7355410100939938 0.02823039782249157 1.1700891938751392 0.9183726911605399 0.2971746002668541 0.17152590543546306 0.9877694509894158 0.7333939521807666 0.1985785596753376 0.7165422942405383 0.6396874965189346 0.5633393752898531; 0.8251705085288366 1.4246262166639085 5.57330496851683 0.22004713096305042 0.3570094169361385 0.9831307686819469 0.7674380100222784 1.6061023117848587 1.0225234740046338 0.6472341556943318 0.8074504737446053 0.9652853015634735 0.6823671715516434],"[6.031821690003561e-5, 0.052759299133196144, 0.0002176698905528567, 0.27532125778527256, 0.00018497769603743666]",0.8653451424681609
[0.5132027346235299 0.6888074700023388 0.0664385558149442 1.1265819699856263 0.8917857479292551 0.30862563122113673 0.1572266802044155 0.7997941830897467 0.7258533498297591 0.08068993258467685 0.6915884479390806 0.7366982889240205 0.5654312466845706; 1.3046542863868695 1.326304006423274 6.330535334827676 0.19583885212725224 0.4699469721597216 0.9184798164637117 0.45674272393980864 1.6748905535376364 1.1089152180646211 0.924393796350407 0.7665688089797047 0.9213399935578974 0.7090265509942378],"[0.00015998081817370185, 0.06765096056976042, 0.0004484622835188448, 0.28504410442388944, 0.00018237341730780878]",0.8650321238732145
[0.35339542055459544 0.6551321952987439 0.07914614757912283 1.1448652233674976 0.8886253934902681 0.3218185139345161 0.22565133230889098 1.2043231674198491 0.7420278769066779 0.06090329958329245 0.6885692278578298 0.6819638862797158 0.5555523146709472; 0.9839910822003529 1.5660413286238761 10.610663558309955 0.22240189367049049 0.38438427773028416 0.9378639893404592 0.6232806926989555 1.6793110885795017 1.07232606506069 1.0049241427520783 0.7292413148397472 0.9368767875103551 0.694870751719594],"[0.00016966116314267094, 0.028827025663547584, 0.0021880382501305883, 0.27049994403568206, 0.001944989189120695]",0.8517750154921668
[0.32072580733518097 0.6912193323547027 0.019107704511627292 1.136008122306798 0.8910982826477799 0.31308252355083965 0.12458258897709333 1.0383249053005046 0.7278578787074577 0.08197122678937582 0.6854463784379715 0.68215369891713 0.5683736307869838; 0.9811926648004632 1.4931711989432643 7.736028466063457 0.2016522452021901 0.37443540132325537 0.8924682789219696 0.5317650078411934 1.5813330287826997 1.155370864240049 0.7964551696929054 0.7523447132084219 0.9595473121849776 0.681148008035449],"[0.0011846536840994953, 0.04756863111595704, 0.0007972499199149183, 0.2809362567412519, 0.0010756777455323814]",0.8625169694209739
[0.6442152802745821 0.7003678780269467 0.11525465199948018 1.1389371814458498 0.8604465043784029 0.3132926101100277 0.2232062414340639 0.9329568692694242 0.7045699979930903 0.13843745241366268 0.7399637159849929 0.7312832057261971 0.5481802080907889; 0.8109898320407374 1.4428171521362443 5.577812006128389 0.1871816274422018 0.41185446304172213 1.0075819482106625 0.8333764662552536 1.596392247749604 0.9997262202183091 1.1704345831683745 0.7803133672191624 0.9061632928115716 0.6771172139487608],"[0.000299856835601436, 0.05055187034617831, 0.0011713135233307947, 0.28376998702368755, 0.0013669745170418598]",0.8703764428045051
[0.48063279272441845 0.7209621583547716 0.04569740074483329 1.1390455090346017 0.8928505763195829 0.31274945673069204 0.08200407952641052 0.9101244414299918 0.6914067783035146 0.24912093047448064 0.6811367264353291 0.6722921419179408 0.5382527602415225; 0.7219330434040092 1.3775415736827887 4.086694541830874 0.2421766644067431 0.43013491838280693 0.9286639668223415 0.6966829519328889 1.5928220921452025 1.141531772706877 0.7610176210243149 0.7258035927593189 0.9313443700019709 0.5969559503627428],"[0.0009115296710922595, 0.055189512434294034, 0.0022333136076455994, 0.27822422000977187, 0.0005332592764549009]",0.8763987852608726
[0.38834266786435623 0.6774080369673701 0.02295773280467442 1.1434140428754453 0.7799997802515587 0.2830203841309438 0.133839573026935 0.7834661842974817 0.6990190592122548 0.14818038312836723 0.6967757432710124 0.6915259631863648 0.5268570357464062; 0.8211419519828961 1.5096062276037447 6.181982498380694 0.23026853852051798 0.4021632571942555 0.913958792404167 0.4633363627006787 1.7209153549894727 1.1148340701580959 1.193643035396483 0.7342096186108826 0.948878858291997 0.644276953702374],"[0.0003874116975308034, 0.06736131546053181, 0.0016060860735263582, 0.2800034174982336, 0.0009850505304182947]",0.8587077506920663
[0.47062578390248305 0.7404080549665069 0.06973099793930702 1.1266851351365414 0.9395787566405003 0.3048822295710449 0.1394387138497536 0.9174543358177578 0.6800218774019435 0.10817318410994324 0.6895288974044744 0.7463226454032817 0.5524271175405006; 1.0198829185465574 1.5719972665224369 8.301275475119425 0.203234751748993 0.3796133347316939 0.9445898531681451 0.6158676780234018 1.6715738165100842 0.9963432549720247 0.7543911123486723 0.7434496868104525 0.953946873767923 0.7705197234454507],"[0.00010220727014204599, 0.03983140690260094, 0.002446397045579345, 0.2817387062033937, 0.0003113305172970684]",0.8659958861257822
[0.6276435489687374 0.6889491426934561 0.04695632721786517 1.1455045375268842 0.8388121135765818 0.2879005380134402 0.19673132606955385 1.0595916731229442 0.7423670560521207 0.19763314080812353 0.7206853644543015 0.6424688569823832 0.5420315767340309; 1.0220246848690209 1.2472253022204602 6.926448535076765 0.21707698566216127 0.4439733219663471 0.9462011801037139 0.5499115530591081 1.7240745306051066 1.193067042677625 0.941560688343809 0.8056262516948505 0.9275308048999589 0.6484838848488593],"[0.00039567386719697154, 0.03929772114640131, 0.0005570866207642071, 0.2895647910756145, 0.001646370288531514]",0.8593436718723058
[0.3511484616292825 0.7069821327622415 0.06694417557505575 1.1316715976085778 0.9068638506009183 0.3214269234222645 0.12811430154826026 0.9996513549197161 0.7407346191585822 0.22401204286399787 0.6834645819165615 0.6791823434422486 0.5468661348686549; 0.9242505983865794 1.6815893605370331 6.078667275628133 0.22183881400975988 0.5041002825081022 1.0064089541909107 0.6141803962533963 1.6166184678071458 1.0504522935863738 0.7998136448587969 0.7974605093018262 0.9371211644635249 0.7185147630223386],"[2.9869424910742776e-5, 0.03942016835852785, 0.0031239605077579783, 0.27684357608467597, 0.0004512988459619122]",0.8643955791051715
[0.5912946103180045 0.7323418999232489 0.06622796024687906 1.1465151076766846 0.8617156304215254 0.31235082133657704 0.11430875806883635 1.1954283987023016 0.7277059641807926 0.21538503000887596 0.6830829338844622 0.6574674441678448 0.5320444685367152; 0.9261775293808281 1.706628416518198 8.295428752601484 0.22171025761324503 0.46115007526939233 0.9311292562818438 0.5811934656773178 1.682892687655296 1.0647436039874592 0.716397930044645 0.7484285349990663 0.9888737801944973 0.7046681411123987],"[7.760203008266117e-5, 0.03623253546998863, 0.0022440255031249325, 0.2806176311226118, 0.0003476268614500895]",0.8580746788385775
[0.42272747754134743 0.7354667515087374 0.047769768985749035 1.1892251379030805 0.8589528188042225 0.317050984998781 0.0704531082456085 0.732536122869273 0.7150252514218904 0.30142204057734856 0.6400706060326283 0.6879989700638042 0.5525028760080574; 0.884720081914155 1.6706829136654773 7.330205083744074 0.22442032225523278 0.39120705725014354 0.9280069448641763 0.5041726315315722 1.7990419665151456 1.1043736205655585 0.9910689663725331 0.8211103757515698 0.933371296041245 0.6699178701781277],"[0.0002786518627658711, 0.06073344661990137, 0.0031640529322008856, 0.28628915963022405, 0.0004543742504303008]",0.8605221541232513
[0.258148118728149 0.6906276331574345 0.04958123057743133 1.114524006378166 0.8805465725121278 0.3108722660878992 0.12444630808899 0.9302128130298104 0.6826250116481211 0.16089768697625229 0.6891838832783559 0.6781686109773047 0.5615998453002045; 1.4974258738651045 1.4087000407371364 7.291768061617955 0.22365937804207242 0.37687425883360115 0.9574476310507853 0.6014597556293987 1.6169693117019448 1.0367745114127922 0.7722761793433331 0.8022395052422329 0.9114946184656578 0.6898018464079501],"[0.0009954411013785465, 0.039548400072250245, 0.002126958768379795, 0.2877171396383461, 0.0002696352633230799]",0.8750587262062935
[0.3380208312461213 0.6843536773492738 0.03407690690318213 1.1801606757228147 0.8486627907835215 0.30561925880266216 0.19991014118099895 0.8438130650851714 0.6933312051658668 0.14922287147956323 0.728576839477788 0.7103154388256536 0.5421960010024326; 0.9801228729175497 1.4289916616498441 6.075208923341453 0.2044164649634191 0.3822406085525993 0.9522165102348119 0.5759779031432676 1.6872709227055842 1.0891421168306565 0.7596313340321501 0.7636657905578916 0.950668745391477 0.7599192642278283],"[0.0006739847823797686, 0.06471486258121317, 0.00040219499712396063, 0.2783122411851718, 0.0008944236148799729]",0.8657561071575834
[0.7258278844174557 0.7072807779164663 0.09562858089433066 1.1033082778409433 0.9662073777857431 0.31400832041067583 0.11180080333100013 1.0295740538480886 0.742302475581395 0.16371259427736232 0.6781309818507003 0.6517729057554688 0.553213958906438; 0.7342600493988412 1.4543402700800119 6.193263939799111 0.21670412213104895 0.39978561394683626 0.948119954682889 0.6953414390274679 1.637737311225109 1.0871332417318185 0.9177335505240967 0.7908692843843315 0.9400453219092093 0.6222451353984513],"[0.00028201266138472856, 0.04721119454898278, 0.000540340510839909, 0.27515563929123343, 0.0003141582533172415]",0.8692327639832376
[0.33425273268731037 0.7187456259957121 0.057151623548441347 1.1670004209898246 0.8089706006707179 0.3073259655835335 0.2371443556962276 0.9401544665444865 0.7074703052422531 0.13189523523892033 0.6977360662847287 0.7445284995948287 0.5564573642610607; 1.045571553459003 1.6199003654305149 5.492746883221605 0.1948966459079363 0.42497822746063174 0.9324119663066193 0.620427936526436 1.5736986006082208 1.1008803118261759 0.859159207662836 0.7254421184641893 0.9498919439401126 0.716108317785245],"[0.0008180249827702394, 0.05246888921694371, 0.00030262299772040684, 0.28694466760000054, 0.00017535088489629408]",0.8651290516758247
[0.39143429346900344 0.7328776724148884 0.042758017938012136 1.1126769806295445 0.8304533296470438 0.31360787526953504 0.18923300996103304 1.1506053088805774 0.7053921252034518 0.20192578139700906 0.6699466949078716 0.6418070193464648 0.5902745774456565; 1.425189570233502 1.4352827905289671 7.650369859380479 0.22170943241384322 0.4028269515997249 0.9021460795742541 0.742812412133433 1.6956011896552208 1.0733987509438978 0.8594769969978389 0.854647904748284 0.9526555191430177 0.6928269193872911],"[0.0004348449562043892, 0.03769254933538566, 0.0005155241154101521, 0.2861220937214934, 0.0006448319406747326]",0.8629399476671905
[0.2536136838398921 0.665647392218973 0.026447502185672624 1.156360424645686 0.8802674929239258 0.334890736059434 0.2073813442960005 1.2237920688619208 0.7110675817463228 0.167311495040686 0.6989226537329528 0.6771461822662107 0.5784180494540191; 1.8454546038192126 1.5045927173545939 5.972807608893837 0.2236923989392951 0.3574156536293326 0.9440771225333914 0.4816944274464423 1.559435774787957 1.0978725561207296 0.6204822881114644 0.7626915397285057 0.9216279920346371 0.6572829593164905],"[0.000655305478750271, 0.022635339235773592, 0.0027082381369694913, 0.2729991221820445, 0.0006084204559487522]",0.8583140364767539
[0.3774351516143035 0.6948997926479052 0.0405355476455576 1.1479538325112106 0.8279726546717026 0.286626160560898 0.1929743746385266 0.8256062214474906 0.7335958422578404 0.12894140189129524 0.6700263434475033 0.6890025769423695 0.5284340293078121; 1.4227053513218135 1.363945304286942 9.433891534575327 0.22053984968064033 0.3882773512378429 0.892362191075712 0.6234897032581239 1.6669275152563416 1.105493265666405 0.98273248197581 0.8590490223526772 1.0213170163837395 0.6922024100369562],"[0.00033465862630552073, 0.08202805132500315, 0.00041040062499187325, 0.27459010078242274, 0.0015303963013689238]",0.8654551970593763
