,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,l13,l14,l15,l16,l17,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,q1,q2,q3,q4,q5,q6,q7,nu,eta,prior,lhood
1.0,0.11832,0.11763,0.11747,0.11809,0.11719,0.12201,0.11363,0.10709,0.11418,0.11133,0.11169,0.11511,0.11242,0.11508,0.11462,0.11564,0.11914,0.09871,0.09936,0.09002,0.09912,0.10093,0.10508,0.10131,0.10923,0.10302,0.10474,0.10287,0.10431,0.09987,0.10012,0.10114,0.10288,0.09784,0.58818,0.23167,0.82957,0.29959,0.51434,0.24428,0.79623,0.1,0.7814161543159162,118.86434768622392,-316.31712199528295
2.0,0.11832,0.11763,0.11747,0.11809,0.11719,0.12201,0.11363,0.10709,0.10202,0.11133,0.11169,0.11511,0.11242,0.11508,0.11462,0.11564,0.11914,0.09871,0.09936,0.09002,0.09912,0.10093,0.10508,0.10131,0.10923,0.11037,0.10474,0.10287,0.10431,0.09987,0.10012,0.10114,0.10288,0.09784,0.58818,0.07406,0.82957,0.29959,0.37674,0.24428,0.58438,0.1,0.7814161543159162,117.87950719691433,-309.18228180746996
3.0,0.11832,0.11763,0.11747,0.11809,0.11719,0.12201,0.11363,0.10709,0.10202,0.11133,0.11169,0.11511,0.11242,0.11174,0.11462,0.11564,0.11914,0.09871,0.09936,0.09002,0.09912,0.10093,0.10508,0.10131,0.10923,0.11037,0.10474,0.10287,0.10431,0.09987,0.09572,0.10114,0.10288,0.09784,0.51341,0.04419,0.55110,0.14033,0.50194,0.29250,0.58438,0.1,0.914688630881219,117.78012192163551,-299.88097883126295
4.0,0.11832,0.11763,0.11747,0.12797,0.11719,0.12201,0.11363,0.10709,0.10202,0.11133,0.11169,0.11511,0.11242,0.11174,0.11462,0.11564,0.11914,0.09871,0.09936,0.09002,0.09068,0.10093,0.10508,0.10131,0.10923,0.11037,0.10474,0.10287,0.10431,0.09987,0.09572,0.10114,0.10288,0.09784,0.51341,0.02863,0.36659,0.06751,0.12374,0.08803,0.45878,0.1,0.839684368346068,117.50603710034973,-292.9572200318582
5.0,0.11832,0.11763,0.11747,0.11435,0.11719,0.12201,0.11363,0.10709,0.10202,0.11133,0.11169,0.11511,0.11242,0.11174,0.11462,0.11564,0.11914,0.09871,0.09936,0.09002,0.09455,0.10093,0.10508,0.10131,0.10923,0.11037,0.10474,0.10287,0.10431,0.09987,0.09572,0.10114,0.10288,0.09784,0.30910,0.02863,0.54887,0.07247,0.24298,0.08803,0.45691,0.1,0.9568531718092501,117.84351023948888,-292.0070216754794
6.0,0.11832,0.11763,0.11747,0.11435,0.11719,0.12201,0.11363,0.10709,0.10202,0.11133,0.11169,0.11511,0.11242,0.11174,0.11462,0.11564,0.11914,0.09871,0.09936,0.09002,0.09455,0.10093,0.10508,0.10131,0.10923,0.11037,0.10474,0.10287,0.10431,0.09987,0.09572,0.10114,0.10288,0.09784,0.14161,0.02863,0.40335,0.07115,0.24298,0.08803,0.42790,0.1,0.9476891963075001,117.84351023948888,-287.39404222639314
7.0,0.11832,0.11763,0.11747,0.11435,0.11719,0.12201,0.11363,0.10709,0.10202,0.11133,0.11169,0.11511,0.11242,0.11174,0.11462,0.11564,0.11914,0.09871,0.09936,0.09002,0.09455,0.10093,0.10508,0.10131,0.10923,0.11037,0.10474,0.10287,0.10431,0.09987,0.09572,0.10114,0.10288,0.09784,0.14161,0.05347,0.40335,0.24687,0.24298,0.05376,0.38287,0.1,0.9476891963075001,117.84351023948888,-287.2016593905885
8.0,0.11832,0.11763,0.11747,0.11435,0.11719,0.12201,0.11363,0.10709,0.10202,0.11133,0.11169,0.11511,0.11242,0.11174,0.11462,0.11564,0.11914,0.09871,0.09936,0.09002,0.09455,0.10093,0.10508,0.10131,0.10923,0.11037,0.10474,0.10287,0.10431,0.09987,0.09572,0.10114,0.10288,0.09784,0.07083,0.01070,0.27149,0.25758,0.34789,0.05376,0.12381,0.1,0.9476891963075001,117.84351023948888,-285.43082281709104
9.0,0.11832,0.11763,0.11747,0.11435,0.11719,0.12201,0.11363,0.10709,0.10202,0.11133,0.11169,0.11511,0.11242,0.11174,0.11462,0.11564,0.11914,0.09871,0.09936,0.09002,0.09455,0.10093,0.10508,0.10131,0.10923,0.11037,0.10474,0.10287,0.10431,0.09987,0.09572,0.10114,0.10288,0.09784,0.07083,0.01070,0.40524,0.39122,0.34789,0.04325,0.12381,0.1,0.8517872821900268,117.84351023948888,-286.3261843050864
10.0,0.11832,0.11763,0.11747,0.11435,0.11719,0.12201,0.11363,0.10709,0.10202,0.11133,0.11169,0.11511,0.11242,0.11174,0.11462,0.11564,0.11914,0.09871,0.09936,0.09002,0.09455,0.10093,0.10508,0.10131,0.10923,0.11037,0.10474,0.10287,0.10431,0.09987,0.09572,0.10114,0.10288,0.09784,0.07083,0.01070,0.09678,0.22782,0.34789,0.04325,0.20756,0.1,0.8118539655196115,117.84351023948888,-284.0858498715556
