gnode,hash,leaves,mvrec,mvlabel,mvperc,mvspeciesset
18,11216586993912447000,OSAT_LOC_Os06g01320.1_LOC_Os06g01320,10,leaf,1.0,OSAT
2,2740249961006423428,PABI_PAB00011449.1_PAB00011449,17,leaf,1.0,PABI
16,2548990610369865514,OSAT_LOC_Os02g02050.1_LOC_Os02g02050;OSAT_LOC_Os06g01320.1_LOC_Os06g01320,10,duplication,0.47,OSAT
11,11943582374573432258,PABI_PAB00007286.1_PAB00007286;PABI_PAB00025913.1_PAB00025913,17,duplication,0.99,PABI
21,591430589707485899,ATHA_AT1G08060.1_AT1G08060;CPAP_Cpa.t.sc311.2_Cpa.g.sc311.2,11,speciation,0.983,CPAP;ATHA
7,1443806017433175637,ATRI_ATR0048G049.1_ATR0048G049;CPAP_Cpa.t.sc311.4_Cpa.g.sc311.4;GBIL_Gb_01673;OSAT_LOC_Os02g02050.1_LOC_Os02g02050;OSAT_LOC_Os06g01320.1_LOC_Os06g01320;PABI_PAB00007286.1_PAB00007286;PABI_PAB00025913.1_PAB00025913,7,duplication,0.537,CPAP;OSAT;ATRI;GBIL;PABI;ATHA
9,16982918639833964720,GBIL_Gb_01673;PABI_PAB00007286.1_PAB00007286;PABI_PAB00025913.1_PAB00025913,15,speciation,0.904,GBIL;PABI
10,1462953035207390687,GBIL_Gb_01673,16,leaf,1.0,GBIL
19,2211810015341167942,CPAP_Cpa.t.sc311.4_Cpa.g.sc311.4,13,leaf,1.0,CPAP
17,1139288242919429530,OSAT_LOC_Os02g02050.1_LOC_Os02g02050,10,leaf,1.0,OSAT
8,2166167173669569448,ATRI_ATR0048G049.1_ATR0048G049;GBIL_Gb_01673;PABI_PAB00007286.1_PAB00007286;PABI_PAB00025913.1_PAB00025913,7,speciation,0.94,CPAP;OSAT;ATRI;GBIL;PABI;ATHA
22,7038642648851304239,ATHA_AT1G08060.1_AT1G08060,12,leaf,1.0,ATHA
6,16021783063352159930,ATHA_AT1G08060.1_AT1G08060;ATHA_AT2G28240.1_AT2G28240;ATRI_ATR0048G049.1_ATR0048G049;CPAP_Cpa.t.sc311.2_Cpa.g.sc311.2;CPAP_Cpa.t.sc311.4_Cpa.g.sc311.4;GBIL_Gb_01673;OSAT_LOC_Os02g02050.1_LOC_Os02g02050;OSAT_LOC_Os06g01320.1_LOC_Os06g01320;PABI_PAB00007286.1_PAB00007286;PABI_PAB00025913.1_PAB00025913,22,duplication,0.371,CPAP;OSAT;ATRI;GBIL;PABI;ATHA
24,16255851011109073534,ATHA_AT2G28240.1_AT2G28240,12,leaf,1.0,ATHA
4,9154830837077610726,MPOL_Mapoly0043s0132.1_Mapoly0043s0132,3,leaf,1.0,MPOL
3,16701827056770041374,MPOL_Mapoly0043s0131.1_Mapoly0043s0131;MPOL_Mapoly0043s0132.1_Mapoly0043s0132,3,duplication,0.971,MPOL
5,12527979288310307240,MPOL_Mapoly0043s0131.1_Mapoly0043s0131,3,leaf,1.0,MPOL
20,6620344730305228834,ATHA_AT1G08060.1_AT1G08060;ATHA_AT2G28240.1_AT2G28240;CPAP_Cpa.t.sc311.2_Cpa.g.sc311.2,11,duplication,0.752,CPAP;ATHA
23,2661682316568968521,CPAP_Cpa.t.sc311.2_Cpa.g.sc311.2,13,leaf,1.0,CPAP
13,9680850392604794785,PABI_PAB00007286.1_PAB00007286,17,leaf,1.0,PABI
14,10139736478898316801,ATRI_ATR0048G049.1_ATR0048G049,14,leaf,1.0,ATRI
15,11809934182550052402,CPAP_Cpa.t.sc311.4_Cpa.g.sc311.4;OSAT_LOC_Os02g02050.1_LOC_Os02g02050;OSAT_LOC_Os06g01320.1_LOC_Os06g01320,9,speciation,0.87,CPAP;OSAT;ATHA
12,2154151516214276160,PABI_PAB00025913.1_PAB00025913,17,leaf,1.0,PABI
1,370696947630417652,ATHA_AT1G08060.1_AT1G08060;ATHA_AT2G28240.1_AT2G28240;ATRI_ATR0048G049.1_ATR0048G049;CPAP_Cpa.t.sc311.2_Cpa.g.sc311.2;CPAP_Cpa.t.sc311.4_Cpa.g.sc311.4;GBIL_Gb_01673;MPOL_Mapoly0043s0131.1_Mapoly0043s0131;MPOL_Mapoly0043s0132.1_Mapoly0043s0132;OSAT_LOC_Os02g02050.1_LOC_Os02g02050;OSAT_LOC_Os06g01320.1_LOC_Os06g01320;PABI_PAB00007286.1_PAB00007286;PABI_PAB00011449.1_PAB00011449;PABI_PAB00025913.1_PAB00025913,1,speciation,0.591,PPAT;CPAP;OSAT;ATRI;MPOL;GBIL;PABI;SMOE;ATHA
